WHO_REGION,region,country,year,percent_incidence,coverage,prev_percent_incidence,prev_coverage
EUR,Eastern Europe,Belarus,2012,1.05363419507e-06,0.98,2.10799911886e-06,0.99
AMR,Central America,Belize,2012,0.0,0.96,0.0,0.98
SEAR,Southern Asia,Bhutan,2012,2.68922026059e-06,0.95,4.09696142028e-06,0.95
AMR,South America,Bolivia (Plurinational State of),2012,0.0,0.96,0.0,0.96
EUR,Southern Europe,Bosnia and Herzegovina,2012,4.44047413816e-06,0.94,8.089115964e-06,0.89
AMR,South America,Brazil,2012,0.0,0.99,0.0,0.99
WPR,South-Eastern Asia,Brunei Darussalam,2012,2.46603043082e-06,0.99,5.00700981374e-06,0.91
EUR,Eastern Europe,Bulgaria,2012,2.46449079513e-06,0.94,5.57426484284e-06,0.95
AFR,Western Africa,Cabo Verde,2012,3.59374688043e-05,0.94,2.01954923661e-05,0.99
AMR,NORTHERN AMERICA,Canada,2012,5.73589364506e-08,0.98,2.89855828609e-08,0.88
AMR,South America,Chile,2012,0.0,0.9,5.81351071517e-08,0.91
WPR,Eastern Asia,China,2012,2.96269637243e-05,0.95,4.86205613386e-05,0.86
AMR,South America,Colombia,2012,2.13305939163e-08,0.94,2.15487286789e-08,0.88
WPR,Polynesia,Cook Islands,2012,0.0,0.97,0.0,0.89
AMR,Central America,Costa Rica,2012,0.0,0.9,0.0,0.83
EUR,Southern Europe,Croatia,2012,2.33262266096e-07,0.95,0.0,0.96
AMR,Caribbean,Cuba,2012,0.0,0.99,0.0,0.99
EUR,Western Asia,Cyprus,2012,0.0,0.86,0.0,0.87
EUR,Eastern Europe,Czech Republic,2012,5.68981409481e-07,0.98,2.56313134909e-06,0.98
EUR,Northern Europe,Denmark,2012,0.0,0.9,0.0,0.87
AMR,Caribbean,Dominica,2012,0.0,0.99,0.0,0.99
AMR,Caribbean,Dominican Republic,2012,0.0,0.88,0.0,0.87
AMR,South America,Ecuador,2012,0.0,0.96,0.0,0.94
EMR,Northern Africa,Egypt,2012,4.08587815444e-07,0.93,3.58048079412e-07,0.96
AMR,Central America,El Salvador,2012,0.0,0.93,0.0,0.89
EUR,Northern Europe,Estonia,2012,0.0,0.94,0.0,0.94
EUR,Western Asia,Georgia,2012,1.81206691601e-05,0.93,1.52511676675e-05,0.91
EUR,Southern Europe,Greece,2012,0.0,0.99,0.0,0.99
AMR,Caribbean,Grenada,2012,0.0,0.94,0.0,0.95
AMR,Central America,Guatemala,2012,0.0,0.93,0.0,0.89
AMR,South America,Guyana,2012,0.0,0.99,0.0,0.98
AMR,Caribbean,Haiti,2012,0.0,0.65,0.0,0.65
AMR,Central America,Honduras,2012,0.0,0.93,0.0,0.95
EUR,Eastern Europe,Hungary,2012,7.02929105583e-07,0.99,3.00334873384e-07,0.99
EUR,Northern Europe,Iceland,2012,6.18410067716e-06,0.9,0.0,0.94
EMR,Southern Asia,Iran (Islamic Republic of),2012,3.93923183404e-07,0.98,2.66012913331e-07,0.99
EMR,Western Asia,Iraq,2012,6.67523929216e-07,0.68,5.64834177237e-07,0.77
EUR,Northern Europe,Ireland,2012,2.14230473428e-06,0.92,1.2895710242e-06,0.92
EUR,Western Asia,Israel,2012,1.29962791653e-07,0.96,1.32216893881e-07,0.97
EUR,Southern Europe,Italy,2012,1.4228865782e-06,0.9,1.40753052289e-06,0.9
AMR,Caribbean,Jamaica,2012,0.0,0.93,0.0,0.88
WPR,Eastern Asia,Japan,2012,1.8507183666e-05,0.96,2.89973745196e-06,0.94
EMR,Western Asia,Jordan,2012,0.0,0.96,1.47920897821e-07,0.95
EUR,Central Asia,Kazakhstan,2012,7.72822335279e-07,0.96,2.65791808901e-06,0.99
WPR,Micronesia,Kiribati,2012,0.0,0.91,0.0,0.9
EMR,Western Asia,Kuwait,2012,3.80163645828e-06,0.99,1.17313641107e-05,0.99
EUR,Central Asia,Kyrgyzstan,2012,1.06227968762e-06,0.98,5.40167776111e-07,0.97
EUR,Northern Europe,Latvia,2012,3.92717062084e-06,0.9,9.69151895177e-07,0.92
EMR,Western Asia,Lebanon,2012,6.09228594753e-07,0.75,8.71137051637e-07,0.75
EUR,Northern Europe,Lithuania,2012,0.0,0.93,0.0,0.94
EUR,Western Europe,Luxembourg,2012,1.87800480769e-06,0.99,0.0,0.96
WPR,South-Eastern Asia,Malaysia,2012,2.71863286879e-05,0.95,1.30892938326e-05,0.95
SEAR,Southern Asia,Maldives,2012,0.0,0.99,2.9531628374e-06,0.96
WPR,Micronesia,Marshall Islands,2012,0.0,0.78,0.0,0.88
AFR,Eastern Africa,Mauritius,2012,7.15227998792e-06,0.99,3.19210910629e-06,0.99
AMR,Central America,Mexico,2012,1.63839130945e-08,0.99,0.0,0.98
WPR,Eastern Asia,Mongolia,2012,8.5459737781e-05,0.99,4.71173257656e-06,0.98
EUR,Southern Europe,Montenegro,2012,0.0,0.9,0.0,0.91
EUR,Western Europe,Netherlands,2012,5.97039163381e-08,0.96,1.19833240063e-07,0.96
WPR,Australia/New Zealand,New Zealand,2012,9.01737648449e-07,0.92,4.99491426911e-06,0.93
AMR,Central America,Nicaragua,2012,0.0,0.99,0.0,0.99
WPR,Polynesia,Niue,2012,0.0,0.99,0.0,0.99
EUR,Northern Europe,Norway,2012,1.99267889773e-07,0.94,4.03718245037e-07,0.93
EMR,Western Asia,Oman,2012,3.66694027683e-06,0.99,3.11526479751e-07,0.99
WPR,Micronesia,Palau,2012,0.0,0.91,0.0,0.85
AMR,Central America,Panama,2012,0.0,0.98,0.0,0.97
AMR,South America,Paraguay,2012,0.0,0.91,0.0,0.93
AMR,South America,Peru,2012,0.0,0.94,0.0,0.96
WPR,South-Eastern Asia,Philippines,2012,1.04147876654e-06,0.85,9.79881425882e-06,0.79
EUR,Southern Europe,Portugal,2012,2.85306162042e-07,0.97,0.0,0.97
EMR,Western Asia,Qatar,2012,9.92250523412e-06,0.97,8.3970106642e-06,0.98
WPR,Eastern Asia,Republic of Korea,2012,5.44262116635e-07,0.99,1.07381593053e-06,0.99
EUR,Eastern Europe,Republic of Moldova,2012,7.36241487208e-07,0.91,0.0,0.91
EUR,Eastern Europe,Romania,2012,0.00104347215711,0.94,0.000173730065047,0.93
EUR,Eastern Europe,Russian Federation,2012,6.99991080871e-06,0.98,2.43695547312e-06,0.98
AMR,Caribbean,Saint Kitts and Nevis,2012,0.0,0.95,0.0,0.99
AMR,Caribbean,Saint Lucia,2012,0.0,0.99,0.0,0.91
AMR,Caribbean,Saint Vincent and the Grenadines,2012,0.0,0.94,0.0,0.97
WPR,Polynesia,Samoa,2012,0.0,0.76,5.33532518807e-06,0.59
EUR,Southern Europe,San Marino,2012,0.0,0.87,0.0,0.83
EUR,Southern Europe,Serbia,2012,1.55857225875e-06,0.87,1.55143907056e-06,0.93
AFR,Eastern Africa,Seychelles,2012,0.0,0.98,0.0,0.99
WPR,South-Eastern Asia,Singapore,2012,1.20765654248e-05,0.95,2.11918692577e-05,0.95
EUR,Eastern Europe,Slovakia,2012,0.0,0.99,0.0,0.98
EUR,Southern Europe,Slovenia,2012,0.0,0.95,0.0,0.96
EUR,Southern Europe,Spain,2012,1.37229860875e-06,0.97,6.42283171089e-07,0.97
SEAR,Southern Asia,Sri Lanka,2012,2.6442253546e-06,0.99,2.04768043584e-05,0.99
AMR,South America,Suriname,2012,0.0,0.73,0.0,0.85
EUR,Northern Europe,Sweden,2012,5.23918997932e-06,0.98,4.22727969268e-07,0.97
EUR,Western Europe,Switzerland,2012,1.24647403657e-06,0.93,1.13553062715e-06,0.93
EMR,Western Asia,Syrian Arab Republic,2012,5.00531564522e-08,0.61,3.41443927347e-07,0.8
EUR,Central Asia,Tajikistan,2012,1.26088617602e-07,0.94,0.0,0.98
SEAR,South-Eastern Asia,Thailand,2012,7.34022758874e-06,0.98,7.7276102582e-06,0.98
EUR,Southern Europe,TFYR Macedonia,2012,1.93304885298e-06,0.96,3.87242302349e-06,0.97
WPR,Polynesia,Tonga,2012,0.0,0.62,0.0,0.66
AMR,Caribbean,Trinidad and Tobago,2012,0.0,0.85,0.0,0.92
EUR,Western Asia,Turkey,2012,5.74488514839e-07,0.96,2.35863813812e-05,0.98
EUR,Central Asia,Turkmenistan,2012,0.0,0.99,0.0,0.99
WPR,Polynesia,Tuvalu,2012,0.0,0.98,0.0,0.98
EUR,Eastern Europe,Ukraine,2012,4.30715391345e-05,0.79,8.06329433179e-05,0.67
AMR,NORTHERN AMERICA,United States of America,2012,2.85896288199e-08,0.91,1.28044920207e-08,0.92
AMR,South America,Uruguay,2012,0.0,0.96,0.0,0.95
AMR,South America,Venezuela (Bolivarian Republic of),2012,0.0,0.87,0.0,0.86
EUR,Southern Europe,Albania,2011,1.7324957294e-06,0.99,1.72302093815e-06,0.99
EUR,Southern Europe,Andorra,2011,0.0,0.99,0.0,0.99
AMR,Caribbean,Antigua and Barbuda,2011,0.0,0.99,0.0,0.98
AMR,South America,Argentina,2011,2.40063645674e-08,0.95,0.0,0.95
EUR,Western Asia,Armenia,2011,0.0,0.97,0.0,0.97
WPR,Australia/New Zealand,Australia,2011,2.66165447555e-06,0.94,1.89506227987e-06,0.94
EUR,Western Europe,Austria,2011,2.37429305424e-07,0.84,2.38322495618e-07,0.8
EUR,Western Asia,Azerbaijan,2011,0.0,0.92,1.09891438248e-07,0.89
AMR,Caribbean,Bahamas,2011,0.0,0.9,0.0,0.94
EMR,Western Asia,Bahrain,2011,2.29707276361e-06,0.99,4.75692132052e-06,0.99
AMR,Caribbean,Barbados,2011,0.0,0.93,0.0,0.85
EUR,Eastern Europe,Belarus,2011,2.10799911886e-06,0.99,0.0,0.99
AMR,Central America,Belize,2011,0.0,0.98,0.0,0.98
SEAR,Southern Asia,Bhutan,2011,4.09696142028e-06,0.95,1.24956612287e-05,0.95
AMR,South America,Bolivia (Plurinational State of),2011,0.0,0.96,0.0,0.88
EUR,Southern Europe,Bosnia and Herzegovina,2011,8.089115964e-06,0.89,0.000725896027909,0.91
AMR,South America,Brazil,2011,0.0,0.99,0.0,0.99
WPR,South-Eastern Asia,Brunei Darussalam,2011,5.00700981374e-06,0.91,2.54258835495e-06,0.94
EUR,Eastern Europe,Bulgaria,2011,5.57426484284e-06,0.95,5.26507634361e-06,0.97
AMR,NORTHERN AMERICA,Canada,2011,2.89855828609e-08,0.88,3.51636295547e-07,0.9
AMR,South America,Chile,2011,5.81351071517e-08,0.91,0.0,0.93
WPR,Eastern Asia,China,2011,4.86205613386e-05,0.86,3.21536205236e-05,0.62
AMR,South America,Colombia,2011,2.15487286789e-08,0.88,0.0,0.88
WPR,Polynesia,Cook Islands,2011,0.0,0.89,0.0,0.99
AMR,Central America,Costa Rica,2011,0.0,0.83,0.0,0.83
EUR,Southern Europe,Croatia,2011,0.0,0.96,2.3167293342e-07,0.96
AMR,Caribbean,Cuba,2011,0.0,0.99,0.0,0.99
EUR,Western Asia,Cyprus,2011,0.0,0.87,0.0,0.87
EUR,Eastern Europe,Czech Republic,2011,2.56313134909e-06,0.98,3.8071235088e-07,0.98
EUR,Northern Europe,Denmark,2011,0.0,0.87,0.0,0.85
AMR,Caribbean,Dominica,2011,0.0,0.99,0.0,0.99
AMR,Caribbean,Dominican Republic,2011,0.0,0.87,0.0,0.85
AMR,South America,Ecuador,2011,0.0,0.94,0.0,0.95
EMR,Northern Africa,Egypt,2011,3.58048079412e-07,0.96,5.61914233361e-06,0.96
AMR,Central America,El Salvador,2011,0.0,0.89,0.0,0.92
EUR,Northern Europe,Estonia,2011,0.0,0.94,0.0,0.95
EUR,Northern Europe,Finland,2011,3.70657286566e-07,0.97,0.0,0.98
EUR,Western Asia,Georgia,2011,1.52511676675e-05,0.91,1.38819283175e-05,0.94
EUR,Southern Europe,Greece,2011,0.0,0.99,0.0,0.99
AMR,Caribbean,Grenada,2011,0.0,0.95,0.0,0.95
AMR,Central America,Guatemala,2011,0.0,0.89,0.0,0.93
AMR,South America,Guyana,2011,0.0,0.98,0.0,0.95
AMR,Caribbean,Haiti,2011,0.0,0.65,0.0,0.64
AMR,Central America,Honduras,2011,0.0,0.95,0.0,0.98
EUR,Eastern Europe,Hungary,2011,3.00334873384e-07,0.99,0.0,0.99
EUR,Northern Europe,Iceland,2011,0.0,0.94,0.0,0.93
EMR,Southern Asia,Iran (Islamic Republic of),2011,2.66012913331e-07,0.99,3.23217653286e-07,0.99
EMR,Western Asia,Iraq,2011,5.64834177237e-07,0.77,4.85937613385e-07,0.77
EUR,Northern Europe,Ireland,2011,1.2895710242e-06,0.92,6.28068602417e-06,0.9
EUR,Western Asia,Israel,2011,1.32216893881e-07,0.97,1.34764169442e-07,0.96
EUR,Southern Europe,Italy,2011,1.40753052289e-06,0.9,7.88749280266e-07,0.91
AMR,Caribbean,Jamaica,2011,0.0,0.88,0.0,0.89
WPR,Eastern Asia,Japan,2011,2.89973745196e-06,0.94,6.99027174092e-07,0.94
EMR,Western Asia,Jordan,2011,1.47920897821e-07,0.95,0.0,0.95
EUR,Central Asia,Kazakhstan,2011,2.65791808901e-06,0.99,1.83929243646e-07,0.99
WPR,Micronesia,Kiribati,2011,0.0,0.9,0.0,0.89
EMR,Western Asia,Kuwait,2011,1.17313641107e-05,0.99,8.49820393728e-06,0.98
EUR,Central Asia,Kyrgyzstan,2011,5.40167776111e-07,0.97,3.65994030637e-07,0.99
EUR,Northern Europe,Latvia,2011,9.69151895177e-07,0.92,0.0,0.95
EMR,Western Asia,Lebanon,2011,8.71137051637e-07,0.75,1.15282811794e-06,0.75
EUR,Northern Europe,Lithuania,2011,0.0,0.94,6.40442673976e-07,0.96
EUR,Western Europe,Luxembourg,2011,0.0,0.96,0.0,0.96
WPR,South-Eastern Asia,Malaysia,2011,1.30892938326e-05,0.95,3.6985010402e-06,0.95
SEAR,Southern Asia,Maldives,2011,2.9531628374e-06,0.96,1.202718143e-05,0.96
EUR,Southern Europe,Malta,2011,2.41499227202e-06,0.84,0.0,0.73
WPR,Micronesia,Marshall Islands,2011,0.0,0.88,0.0,0.97
AFR,Eastern Africa,Mauritius,2011,3.19210910629e-06,0.99,1.60262831043e-06,0.99
AMR,Central America,Mexico,2011,0.0,0.98,0.0,0.95
WPR,Eastern Asia,Mongolia,2011,4.71173257656e-06,0.98,4.05506034667e-06,0.97
EUR,Southern Europe,Montenegro,2011,0.0,0.91,4.82353886968e-06,0.9
EUR,Western Europe,Netherlands,2011,1.19833240063e-07,0.96,0.0,0.96
WPR,Australia/New Zealand,New Zealand,2011,4.99491426911e-06,0.93,4.57767513613e-07,0.91
AMR,Central America,Nicaragua,2011,0.0,0.99,0.0,0.99
WPR,Polynesia,Niue,2011,0.0,0.99,0.0,0.99
EUR,Northern Europe,Norway,2011,4.03718245037e-07,0.93,0.0,0.93
EMR,Western Asia,Oman,2011,3.11526479751e-07,0.99,6.7940552017e-07,0.99
WPR,Micronesia,Palau,2011,0.0,0.85,0.0,0.39
AMR,Central America,Panama,2011,0.0,0.97,0.0,0.97
AMR,South America,Paraguay,2011,0.0,0.93,0.0,0.94
AMR,South America,Peru,2011,0.0,0.96,0.0,0.94
EUR,Southern Europe,Portugal,2011,0.0,0.97,0.0,0.96
EMR,Western Asia,Qatar,2011,8.3970106642e-06,0.98,1.30273971827e-05,0.99
WPR,Eastern Asia,Republic of Korea,2011,1.07381593053e-06,0.99,4.27785351163e-07,0.98
EUR,Eastern Europe,Republic of Moldova,2011,0.0,0.91,0.0,0.97
EUR,Eastern Europe,Romania,2011,0.000173730065047,0.93,1.72423645883e-05,0.95
EUR,Eastern Europe,Russian Federation,2011,2.43695547312e-06,0.98,3.82095040378e-06,0.98
AMR,Caribbean,Saint Kitts and Nevis,2011,0.0,0.99,0.0,0.99
AMR,Caribbean,Saint Lucia,2011,0.0,0.91,0.0,0.95
AMR,Caribbean,Saint Vincent and the Grenadines,2011,0.0,0.97,0.0,0.99
WPR,Polynesia,Samoa,2011,5.33532518807e-06,0.59,0.0,0.56
EUR,Southern Europe,San Marino,2011,0.0,0.83,0.0,0.68
EUR,Southern Europe,Serbia,2011,1.55143907056e-06,0.93,1.54541591006e-06,0.95
AFR,Eastern Africa,Seychelles,2011,0.0,0.99,0.0,0.99
WPR,South-Eastern Asia,Singapore,2011,2.11918692577e-05,0.95,3.11087309213e-05,0.95
EUR,Eastern Europe,Slovakia,2011,0.0,0.98,0.0,0.98
EUR,Southern Europe,Slovenia,2011,0.0,0.96,0.0,0.95
EUR,Southern Europe,Spain,2011,6.42283171089e-07,0.97,1.93126872124e-07,0.95
SEAR,Southern Asia,Sri Lanka,2011,2.04768043584e-05,0.99,3.36611833589e-06,0.99
AMR,South America,Suriname,2011,0.0,0.85,0.0,0.9
EUR,Northern Europe,Sweden,2011,4.22727969268e-07,0.97,3.19751020539e-07,0.97
EUR,Western Europe,Switzerland,2011,1.13553062715e-06,0.93,1.53246331985e-06,0.92
EMR,Western Asia,Syrian Arab Republic,2011,3.41443927347e-07,0.8,9.65223014778e-07,0.82
EUR,Central Asia,Tajikistan,2011,0.0,0.98,7.91379242122e-07,0.94
SEAR,South-Eastern Asia,Thailand,2011,7.7276102582e-06,0.98,5.80279319775e-06,0.98
EUR,Southern Europe,TFYR Macedonia,2011,3.87242302349e-06,0.97,1.45458776983e-06,0.98
WPR,Polynesia,Tonga,2011,0.0,0.66,0.0,0.68
AMR,Caribbean,Trinidad and Tobago,2011,0.0,0.92,0.0,0.92
EUR,Western Asia,Turkey,2011,2.35863813812e-05,0.98,8.85072995012e-07,0.97
EUR,Central Asia,Turkmenistan,2011,0.0,0.99,0.0,0.99
WPR,Polynesia,Tuvalu,2011,0.0,0.98,0.0,0.85
EUR,Eastern Europe,Ukraine,2011,8.06329433179e-05,0.67,5.11090421162e-05,0.56
AMR,NORTHERN AMERICA,United States of America,2011,1.28044920207e-08,0.92,1.61354776006e-08,0.92
AMR,South America,Uruguay,2011,0.0,0.95,0.0,0.95
EUR,Central Asia,Uzbekistan,2011,8.16807773169e-07,0.99,3.60493385667e-08,0.98
AMR,South America,Venezuela (Bolivarian Republic of),2011,0.0,0.86,0.0,0.79
EUR,Southern Europe,Albania,2010,1.72302093815e-06,0.99,0.0,0.97
EUR,Southern Europe,Andorra,2010,0.0,0.99,0.0,0.98
AMR,Caribbean,Antigua and Barbuda,2010,0.0,0.98,0.0,0.99
AMR,South America,Argentina,2010,0.0,0.95,9.80424837691e-08,0.96
EUR,Western Asia,Armenia,2010,0.0,0.97,1.34856765258e-06,0.96
WPR,Australia/New Zealand,Australia,2010,1.89506227987e-06,0.94,1.14833291917e-06,0.94
EUR,Western Europe,Austria,2010,2.38322495618e-07,0.8,3.01386377336e-05,0.76
AMR,Caribbean,Bahamas,2010,0.0,0.94,0.0,0.98
EMR,Western Asia,Bahrain,2010,4.75692132052e-06,0.99,7.52024198468e-06,0.99
AMR,Caribbean,Barbados,2010,0.0,0.85,0.0,0.94
EUR,Eastern Europe,Belarus,2010,0.0,0.99,3.15612730555e-07,0.99
AMR,Central America,Belize,2010,0.0,0.98,0.0,0.97
SEAR,Southern Asia,Bhutan,2010,1.24956612287e-05,0.95,2.11915290395e-05,0.94
AMR,South America,Bolivia (Plurinational State of),2010,0.0,0.88,0.0,0.93
EUR,Southern Europe,Bosnia and Herzegovina,2010,0.000725896027909,0.91,0.000136278477121,0.93
AMR,South America,Brazil,2010,0.0,0.99,0.0,0.99
WPR,South-Eastern Asia,Brunei Darussalam,2010,2.54258835495e-06,0.94,2.58344528263e-06,0.99
EUR,Eastern Europe,Bulgaria,2010,5.26507634361e-06,0.97,5.89807588679e-06,0.96
AMR,NORTHERN AMERICA,Canada,2010,3.51636295547e-07,0.9,2.07428549754e-07,0.91
AMR,South America,Chile,2010,0.0,0.93,0.0,0.93
AMR,South America,Colombia,2010,0.0,0.88,8.80741443377e-08,0.89
WPR,Polynesia,Cook Islands,2010,0.0,0.99,0.0,0.78
AMR,Central America,Costa Rica,2010,0.0,0.83,0.0,0.81
EUR,Southern Europe,Croatia,2010,2.3167293342e-07,0.96,0.0,0.95
AMR,Caribbean,Cuba,2010,0.0,0.99,0.0,0.99
EUR,Western Asia,Cyprus,2010,0.0,0.87,0.0,0.87
EUR,Eastern Europe,Czech Republic,2010,3.8071235088e-07,0.98,5.73612669957e-07,0.98
AMR,Caribbean,Dominica,2010,0.0,0.99,0.0,0.99
AMR,Caribbean,Dominican Republic,2010,0.0,0.85,0.0,0.84
AMR,South America,Ecuador,2010,0.0,0.95,0.0,0.97
EMR,Northern Africa,Egypt,2010,5.61914233361e-06,0.96,7.55819937834e-06,0.95
AMR,Central America,El Salvador,2010,0.0,0.92,0.0,0.91
EUR,Northern Europe,Estonia,2010,0.0,0.95,7.48497391487e-07,0.95
WPR,Melanesia,Fiji,2010,0.0,0.94,1.17391559547e-06,0.94
EUR,Northern Europe,Finland,2010,0.0,0.98,0.0,0.98
EUR,Western Asia,Georgia,2010,1.38819283175e-05,0.94,1.5586506273e-05,0.83
EUR,Southern Europe,Greece,2010,0.0,0.99,3.5779999517e-07,0.99
AMR,Caribbean,Grenada,2010,0.0,0.95,0.0,0.98
AMR,Central America,Guatemala,2010,0.0,0.93,0.0,0.92
AMR,South America,Guyana,2010,0.0,0.95,0.0,0.97
AMR,Caribbean,Haiti,2010,0.0,0.64,0.0,0.63
AMR,Central America,Honduras,2010,0.0,0.98,0.0,0.99
EUR,Eastern Europe,Hungary,2010,0.0,0.99,0.0,0.99
EUR,Northern Europe,Iceland,2010,0.0,0.93,0.0,0.92
EMR,Southern Asia,Iran (Islamic Republic of),2010,3.23217653286e-07,0.99,1.49923034966e-07,0.99
EMR,Western Asia,Iraq,2010,4.85937613385e-07,0.77,5.57212177388e-06,0.87
EUR,Northern Europe,Ireland,2010,6.28068602417e-06,0.9,5.0454086781e-06,0.9
EUR,Western Asia,Israel,2010,1.34764169442e-07,0.96,8.26109465012e-07,0.96
EUR,Southern Europe,Italy,2010,7.88749280266e-07,0.91,1.78249522426e-06,0.9
AMR,Caribbean,Jamaica,2010,0.0,0.89,0.0,0.88
WPR,Eastern Asia,Japan,2010,6.99027174092e-07,0.94,1.16223478273e-06,0.94
EMR,Western Asia,Jordan,2010,0.0,0.95,3.19138581142e-07,0.9
EUR,Central Asia,Kazakhstan,2010,1.83929243646e-07,0.99,3.86374761156e-05,0.99
WPR,Micronesia,Kiribati,2010,0.0,0.89,0.0,0.82
EUR,Central Asia,Kyrgyzstan,2010,3.65994030637e-07,0.99,2.60208054926e-06,0.99
EUR,Northern Europe,Latvia,2010,0.0,0.95,3.30608177357e-06,0.92
EMR,Western Asia,Lebanon,2010,1.15282811794e-06,0.75,5.02183301688e-06,0.75
EUR,Northern Europe,Lithuania,2010,6.40442673976e-07,0.96,0.0,0.96
EUR,Western Europe,Luxembourg,2010,0.0,0.96,0.0,0.96
SEAR,Southern Asia,Maldives,2010,1.202718143e-05,0.96,0.0,0.96
EUR,Southern Europe,Malta,2010,0.0,0.73,0.0,0.82
WPR,Micronesia,Marshall Islands,2010,0.0,0.97,0.0,0.78
AFR,Eastern Africa,Mauritius,2010,1.60262831043e-06,0.99,1.60907518404e-06,0.99
AMR,Central America,Mexico,2010,0.0,0.95,0.0,0.96
WPR,Eastern Asia,Mongolia,2010,4.05506034667e-06,0.97,1.12377648835e-06,0.94
EUR,Southern Europe,Montenegro,2010,4.82353886968e-06,0.9,0.0,0.86
EUR,Western Europe,Netherlands,2010,0.0,0.96,4.82649650049e-07,0.96
WPR,Australia/New Zealand,New Zealand,2010,4.57767513613e-07,0.91,4.6198765569e-07,0.89
AMR,Central America,Nicaragua,2010,0.0,0.99,0.0,0.99
WPR,Polynesia,Niue,2010,0.0,0.99,0.0,0.99
EUR,Northern Europe,Norway,2010,0.0,0.93,0.0,0.93
EMR,Western Asia,Oman,2010,6.7940552017e-07,0.99,6.87889879692e-06,0.99
WPR,Micronesia,Palau,2010,0.0,0.39,0.0,0.75
AMR,Central America,Panama,2010,0.0,0.97,0.0,0.96
AMR,South America,Paraguay,2010,0.0,0.94,0.0,0.91
AMR,South America,Peru,2010,0.0,0.94,0.0,0.91
EUR,Eastern Europe,Poland,2010,0.00010877601577,0.98,0.000196775792583,0.98
EUR,Southern Europe,Portugal,2010,0.0,0.96,2.83279164062e-07,0.95
EMR,Western Asia,Qatar,2010,1.30273971827e-05,0.99,8.79866763033e-06,0.99
WPR,Eastern Asia,Republic of Korea,2010,4.27785351163e-07,0.98,7.58087357889e-07,0.93
EUR,Eastern Europe,Republic of Moldova,2010,0.0,0.97,2.44151950408e-07,0.9
EUR,Eastern Europe,Romania,2010,1.72423645883e-05,0.95,1.67233374906e-05,0.96
EUR,Eastern Europe,Russian Federation,2010,3.82095040378e-06,0.98,1.11928832825e-05,0.98
AMR,Caribbean,Saint Kitts and Nevis,2010,0.0,0.99,0.0,0.99
AMR,Caribbean,Saint Lucia,2010,0.0,0.95,0.0,0.99
AMR,Caribbean,Saint Vincent and the Grenadines,2010,0.0,0.99,0.0,0.99
WPR,Polynesia,Samoa,2010,0.0,0.56,0.0,0.45
EUR,Southern Europe,San Marino,2010,0.0,0.68,0.0,0.93
EMR,Western Asia,Saudi Arabia,2010,1.24596618448e-06,0.98,4.37804570607e-07,0.98
EUR,Southern Europe,Serbia,2010,1.54541591006e-06,0.95,2.97127110978e-06,0.95
AFR,Eastern Africa,Seychelles,2010,0.0,0.99,0.0,0.97
WPR,South-Eastern Asia,Singapore,2010,3.11087309213e-05,0.95,3.58501624335e-05,0.95
EUR,Eastern Europe,Slovakia,2010,0.0,0.98,0.0,0.99
EUR,Southern Europe,Slovenia,2010,0.0,0.95,0.0,0.95
EUR,Southern Europe,Spain,2010,1.93126872124e-07,0.95,4.32010323319e-07,0.98
SEAR,Southern Asia,Sri Lanka,2010,3.36611833589e-06,0.99,7.12191472927e-06,0.97
AMR,South America,Suriname,2010,0.0,0.9,0.0,0.88
EUR,Northern Europe,Sweden,2010,3.19751020539e-07,0.97,1.07487238578e-07,0.97
EUR,Western Europe,Switzerland,2010,1.53246331985e-06,0.92,4.5235301112e-06,0.92
EMR,Western Asia,Syrian Arab Republic,2010,9.65223014778e-07,0.82,9.72437711718e-08,0.82
EUR,Central Asia,Tajikistan,2010,7.91379242122e-07,0.94,2.4140386462e-05,0.89
SEAR,South-Eastern Asia,Thailand,2010,5.80279319775e-06,0.98,8.92586125545e-06,0.98
EUR,Southern Europe,TFYR Macedonia,2010,1.45458776983e-06,0.98,5.34260680357e-06,0.96
WPR,Polynesia,Tonga,2010,0.0,0.68,0.0,0.7
AMR,Caribbean,Trinidad and Tobago,2010,0.0,0.92,0.0,0.94
EUR,Western Asia,Turkey,2010,8.85072995012e-07,0.97,1.36118743818e-06,0.97
EUR,Central Asia,Turkmenistan,2010,0.0,0.99,0.0,0.99
WPR,Polynesia,Tuvalu,2010,0.0,0.85,0.0,0.9
AMR,NORTHERN AMERICA,United States of America,2010,1.61354776006e-08,0.92,9.76460912465e-09,0.9
AMR,South America,Uruguay,2010,0.0,0.95,0.0,0.94
EUR,Central Asia,Uzbekistan,2010,3.60493385667e-08,0.98,2.1947384073e-07,0.95
AMR,South America,Venezuela (Bolivarian Republic of),2010,0.0,0.79,0.0,0.87
EUR,Southern Europe,Albania,2009,0.0,0.97,0.0,0.98
EUR,Southern Europe,Andorra,2009,0.0,0.98,0.0,0.98
AMR,Caribbean,Antigua and Barbuda,2009,0.0,0.99,0.0,0.99
AMR,South America,Argentina,2009,9.80424837691e-08,0.96,5.57676144685e-05,0.96
EUR,Western Asia,Armenia,2009,1.34856765258e-06,0.96,1.3445242569e-06,0.94
WPR,Australia/New Zealand,Australia,2009,1.14833291917e-06,0.94,1.77816460657e-06,0.94
EUR,Western Europe,Austria,2009,3.01386377336e-05,0.76,8.40187866007e-07,0.83
