"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"countryVal[116]",0.000319933895237867,0.000197908812672109,-2.7781e-05,0.000140375,0.00034955,0.00048935,0.000670105,2.99349421623452,4
"countryVal[117]",0.000313062405726667,0.000185999658499999,1.8181e-06,0.0001407,0.0003369,0.0004499,0.000686605,1,1
"countryVal[118]",0.000570539456666667,0.000227933101169748,0.0001725,0.000452674997928825,0.0005441,0.0007139,0.00101902498804747,1.93626796743655,5
"countryVal[119]",0.000325758187018067,0.000184589683767323,2.611475e-05,0.00015105,0.0003672,0.000449,0.0006732025,1,1
"countryVal[120]",0.000495017323333333,0.000200153127999053,0.0001225975,0.0003415,0.0005292,0.0006177,0.000869605,2.73739109748727,4
"countryVal[121]",0.000313537293279333,0.000176104079994782,-3.61917499999999e-06,0.0001661,0.0003276,0.0004453,0.0006688175,2.65562263158661,4
"countryVal[122]",0.000487292430933333,0.00020740715215757,0.0001355925,0.00032425,0.00050805,0.000600025,0.00091,2.25197224859317,5
"countryVal[123]",0.000315952593626667,0.00018469276715358,9.784675e-06,0.0001447,0.00033965,0.0004507,0.0006879025,1,1
"countryVal[124]",0.000493529394566667,0.000209535326754084,0.0001371,0.0003288,0.0005098,0.000606725,0.0009155025,2.2051315661906,5
"countryVal[125]",0.000312639190058667,0.000185164085120055,1.44105e-06,0.000140975,0.0003369,0.0004498,0.0006851025,1,1
"countryVal[126]",0.000316635991398,0.000194150827549322,-1.165e-05,0.0001511,0.000356,0.000432,0.0007237075,2.63825094421353,4
"countryVal[127]",0.000495444186333333,0.000208683662240265,0.000141895,0.000335525,0.0005099,0.0006069,0.0009151,2.1870441943814,5
"countryVal[128]",0.00031876015356,0.000184232628768919,1.3088e-05,0.000149875,0.0003423,0.0004515,0.0006886,1,1
"countryVal[129]",0.000494170295333333,0.000209481924501388,0.0001401925,0.000334375,0.00050985,0.0006069,0.0009156,2.21007479379048,5
"countryVal[130]",0.000489358652666667,0.000199872860958297,0.0001221,0.0003333,0.0005228,0.0006164,0.0008664075,2.7805969193641,4
"countryVal[131]",0.000321913924431333,0.000190736180397364,-2.03415e-06,0.000160875,0.0003429,0.000484025,0.00065851,1,1
